portion_id	portion_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	state	portion_number	weight	is_ffpe
808694a8-f3d5-4b54-9535-b0074e0551ee	TCGA-28-5218-01A-01	d558203d-3f70-42d4-accb-008ace280f48	TCGA-28-5218	TCGA-GBM	bcb4ad58-a268-4232-a3f7-b105c6ccd846	TCGA-28-5218-01A	released	01	68.0	False
d91e3c27-34a3-4430-9ab1-053e2629cba0	TCGA-28-5218-10A-01	d558203d-3f70-42d4-accb-008ace280f48	TCGA-28-5218	TCGA-GBM	9d098f6b-05b2-44b9-9bea-eb22b763b260	TCGA-28-5218-10A	released	01	--	False
fb3f77d5-cd5e-43e9-bd3e-d12739e4dca4	TCGA-06-2570-10A-01	b37d944c-c65c-46d6-bb8b-3eb37cb85b68	TCGA-06-2570	TCGA-GBM	e36e3bf5-c133-4297-accc-80c05c7f0ab3	TCGA-06-2570-10A	released	01	--	False
600de577-851e-4fc8-82ae-5dea84ae5dc2	TCGA-06-2570-01A-22-1899-20	b37d944c-c65c-46d6-bb8b-3eb37cb85b68	TCGA-06-2570	TCGA-GBM	42200dbc-8248-461d-bf90-5386360213a9	TCGA-06-2570-01A	released	22	--	False
8a47392f-b8d7-477c-8930-329a77caf905	TCGA-06-2570-01A-01	b37d944c-c65c-46d6-bb8b-3eb37cb85b68	TCGA-06-2570	TCGA-GBM	42200dbc-8248-461d-bf90-5386360213a9	TCGA-06-2570-01A	released	01	144.0	False
ea94e86e-ff1d-418f-9108-0a4ff619b696	TCGA-28-5216-01A-01	c2f7f72f-13ae-4efc-9cda-69ca037b4498	TCGA-28-5216	TCGA-GBM	dd3c3ff2-541d-4717-9876-b20664d8b2df	TCGA-28-5216-01A	released	01	96.0	False
304b9c21-fb35-4505-87f9-b5818861113f	TCGA-28-5216-10A-01	c2f7f72f-13ae-4efc-9cda-69ca037b4498	TCGA-28-5216	TCGA-GBM	42af8acc-7529-490a-b491-46abba92e069	TCGA-28-5216-10A	released	01	--	False
3cbe6427-a4c0-467e-b290-538185a42020	TCGA-12-1597-01B-01	2b82e941-1b16-444e-af41-24dbc0a7e8b5	TCGA-12-1597	TCGA-GBM	496b5fda-b5bf-4997-9569-33fd6ae0e78c	TCGA-12-1597-01B	released	01	166.0	False
7e55da41-a765-453f-af47-dc2175559916	TCGA-12-1597-01B-21-1898-20	2b82e941-1b16-444e-af41-24dbc0a7e8b5	TCGA-12-1597	TCGA-GBM	496b5fda-b5bf-4997-9569-33fd6ae0e78c	TCGA-12-1597-01B	released	21	--	False
09765858-81bc-4003-a085-9bc237bd52c4	TCGA-12-1597-10A-01	2b82e941-1b16-444e-af41-24dbc0a7e8b5	TCGA-12-1597	TCGA-GBM	f0fe4568-bcd6-4b6c-9f78-95503ddc672f	TCGA-12-1597-10A	released	01	--	False
d4b1debb-4992-4334-be6d-8e1650328aa6	TCGA-06-5414-10A-01	7a650a2c-bc3f-4e0c-820e-4f492977107b	TCGA-06-5414	TCGA-GBM	8fa8bf61-b194-49bf-9b26-03402d0c2924	TCGA-06-5414-10A	released	01	--	False
4a0b85d9-120e-4db2-934b-f74268d95ea8	TCGA-06-5414-01A-01	7a650a2c-bc3f-4e0c-820e-4f492977107b	TCGA-06-5414	TCGA-GBM	61eb01aa-45c2-4973-97c2-aadaf498771a	TCGA-06-5414-01A	released	01	122.0	False
1160c00e-509b-442a-bdc7-e80122ade8c3	TCGA-06-5414-01A-21-1899-20	7a650a2c-bc3f-4e0c-820e-4f492977107b	TCGA-06-5414	TCGA-GBM	61eb01aa-45c2-4973-97c2-aadaf498771a	TCGA-06-5414-01A	released	21	--	False
f7266695-a402-41eb-8782-5f947eb01997	TCGA-19-5960-01A-11	93ed7a2b-b0cb-4a84-871f-5c34a0b6a640	TCGA-19-5960	TCGA-GBM	86c6a232-f5ab-47cd-b91b-4cad6aa1d0f1	TCGA-19-5960-01A	released	11	34.0	False
f57d1168-8031-4b12-9e63-b867a2961a2f	TCGA-19-5960-01A-13-1900-20	93ed7a2b-b0cb-4a84-871f-5c34a0b6a640	TCGA-19-5960	TCGA-GBM	86c6a232-f5ab-47cd-b91b-4cad6aa1d0f1	TCGA-19-5960-01A	released	13	--	False
0f54160b-c8ad-459b-8535-59c98c47321c	TCGA-19-5960-10A-01	93ed7a2b-b0cb-4a84-871f-5c34a0b6a640	TCGA-19-5960	TCGA-GBM	ceca084d-ede6-467c-b0b6-a3224dcda5e5	TCGA-19-5960-10A	released	01	--	False
